date,createdAt,timestamp,context,value
2023-11-23 20:32:00.571000-05:00,1700789520571,1700789520571,{},22.0
2023-11-23 20:31:57.040000-05:00,1700789517040,1700789517040,{},21.75
2023-11-23 20:31:53.520000-05:00,1700789513520,1700789513520,{},22.0
2023-11-23 20:31:50.019000-05:00,1700789510019,1700789510019,{},22.25
2023-11-23 20:31:46.542000-05:00,1700789506542,1700789506542,{},22.0
2023-11-23 20:31:43.018000-05:00,1700789503018,1700789503018,{},21.5
2023-11-23 20:31:39.504000-05:00,1700789499504,1700789499504,{},22.0
2023-11-23 20:31:36.006000-05:00,1700789496006,1700789496006,{},22.25
2023-11-23 20:31:32.498000-05:00,1700789492498,1700789492498,{},22.0
2023-11-23 20:31:29.010000-05:00,1700789489010,1700789489010,{},22.0
2023-11-23 20:31:25.534000-05:00,1700789485534,1700789485534,{},22.0
2023-11-23 20:31:21.987000-05:00,1700789481987,1700789481987,{},21.75
2023-11-23 20:31:18.483000-05:00,1700789478483,1700789478483,{},22.0
2023-11-23 20:31:15.016000-05:00,1700789475016,1700789475016,{},22.25
2023-11-23 20:31:04.476000-05:00,1700789464476,1700789464476,{},22.0
2023-11-23 20:31:00.978000-05:00,1700789460978,1700789460978,{},21.75
2023-11-23 20:30:58.629000-05:00,1700789458629,1700789458629,{},22.0
2023-11-23 20:30:57.942000-05:00,1700789457942,1700789457942,{},21.75
2023-11-23 20:30:50.454000-05:00,1700789450454,1700789450454,{},21.75
2023-11-23 20:30:43.449000-05:00,1700789443449,1700789443449,{},21.75
2023-11-23 20:30:39.938000-05:00,1700789439938,1700789439938,{},22.5
2023-11-23 20:30:36.436000-05:00,1700789436436,1700789436436,{},22.0
2023-11-23 20:30:35.780000-05:00,1700789435780,1700789435780,{},21.75
2023-11-23 20:30:26.414000-05:00,1700789426414,1700789426414,{},22.0
2023-11-23 20:30:18.932000-05:00,1700789418932,1700789418932,{},22.0
2023-11-23 20:30:11.920000-05:00,1700789411920,1700789411920,{},22.0
2023-11-23 20:30:08.410000-05:00,1700789408410,1700789408410,{},21.75
2023-11-23 20:30:05.575000-05:00,1700789405575,1700789405575,{},21.75
2023-11-23 20:29:57.900000-05:00,1700789397900,1700789397900,{},22.5
2023-11-23 20:29:55.241000-05:00,1700789395241,1700789395241,{},21.5
2023-11-23 20:29:47.397000-05:00,1700789387397,1700789387397,{},21.5
2023-11-23 20:29:43.891000-05:00,1700789383891,1700789383891,{},21.75
2023-11-23 20:29:36.887000-05:00,1700789376887,1700789376887,{},22.25
2023-11-23 20:29:34.749000-05:00,1700789374749,1700789374749,{},22.25
2023-11-23 20:29:26.444000-05:00,1700789366444,1700789366444,{},22.0
2023-11-23 20:29:24.307000-05:00,1700789364307,1700789364307,{},21.75
2023-11-23 20:29:23.416000-05:00,1700789363416,1700789363416,{},21.75
2023-11-23 20:29:12.350000-05:00,1700789352350,1700789352350,{},21.75
2023-11-23 20:29:08.848000-05:00,1700789348848,1700789348848,{},22.25
2023-11-23 20:29:05.341000-05:00,1700789345341,1700789345341,{},22.25
2023-11-23 20:29:01.840000-05:00,1700789341840,1700789341840,{},22.25
2023-11-23 20:28:58.340000-05:00,1700789338340,1700789338340,{},22.0
2023-11-23 20:28:54.830000-05:00,1700789334830,1700789334830,{},22.0
2023-11-23 20:28:51.357000-05:00,1700789331357,1700789331357,{},22.25
2023-11-23 20:28:47.822000-05:00,1700789327822,1700789327822,{},22.25
2023-11-23 20:28:44.360000-05:00,1700789324360,1700789324360,{},22.0
2023-11-23 20:28:37.311000-05:00,1700789317311,1700789317311,{},22.0
2023-11-23 20:28:33.805000-05:00,1700789313805,1700789313805,{},22.0
2023-11-23 20:28:30.303000-05:00,1700789310303,1700789310303,{},22.0
2023-11-23 20:28:26.801000-05:00,1700789306801,1700789306801,{},22.25
2023-11-23 20:28:23.301000-05:00,1700789303301,1700789303301,{},22.25
